67,0,WIDTH_BUCKET,O,G,NUMBER,,,
67,1,EXPR,I,T,<SELF>,,,
67,2,MIN_VALUE,I,T,<SELF>,,,
67,3,MAX_VALUE,I,T,<SELF>,,,
67,4,NUM_BUCKETS,I,G,NUMBER,,,
68,0,LEVEL,O,G,NUMBER,,,
69,0,SYS_CONNECT_BY_PATH,O,G,STRING,,,
69,1,COLUMN,I,G,STRING,,,
69,2,CHAR,I,G,STRING,,,
70,0,DECODE,O,T,<SELF>,,,
70,1,EXPR,I,T,<SELF>,,,
71,0,CONNECT_BY_ISCYCLE,O,G,NUMBER,,,
72,0,CONNECT_BY_ISLEAF,O,G,NUMBER,,,
94,0,CATSEARCH,O,G,NUMBER,,,
94,1,COLUMN,I,G,NULL,,,
94,2,TEXT_QUERY,I,G,STRING,,,
94,3,STRUCTURED_QUERY,I,G,STRING,,,
95,0,CONTAINS,O,G,NUMBER,,,
95,1,COLUMN,I,G,NULL,,,
95,2,TEXT_QUERY,I,G,STRING,,,
95,3,LABEL,D,G,NUMBER,,,
96,0,MATCH_SCORE,O,G,NUMBER,,,
96,1,LABEL,I,G,NUMBER,,,
97,0,MATCHES,O,G,NUMBER,,,
97,1,COLUMN,I,G,NULL,,,
97,2,DOCUMENT,I,G,NULL,,,
97,3,LABEL,D,G,NUMBER,,,
98,0,SCORE,O,G,NUMBER,,,
98,1,LABEL,I,G,NUMBER,,,
99,0,LNNVL,O,G,BOOLEAN,,,
99,1,CONDITION,I,G,BOOLEAN,,,
100,0,COLLECT,O,T,<SELF>,,,
100,1,COLUMN,I,T,<SELF>,,,
101,0,ABS,O,G,NUMBER,,,
101,1,N,I,G,NUMBER,,,
102,0,ADD_MONTHS,O,G,DATE,,,
102,1,LEFT,I,G,DATE,,,
102,2,RIGHT,I,G,NUMBER,,,
103,0,ASCII,O,G,NUMBER,,,
103,1,CH,I,G,STRING,,,
104,0,CEIL,O,G,NUMBER,,,
104,1,N,I,G,NUMBER,,,
105,0,CHR,O,G,STRING,,,
105,1,N,I,G,NUMBER,,,
106,0,FLOOR,O,G,NUMBER,,,
106,1,N,I,G,NUMBER,,,
107,0,GREATEST,O,G,<SELF>,,,
107,1,PATTERN,I,G,<SELF>,,,
108,0,INITCAP,O,G,STRING,,,
108,1,CH,I,G,STRING,,,
109,0,INSTR,O,G,NUMBER,,,
109,1,STR1,I,D,<SELF>,,,
109,2,STR2,I,D,<SELF>,,,
109,3,POS,D,G,NUMBER,,,
109,4,NTH,D,G,NUMBER,,,
110,0,LAST_DAY,O,G,DATE,,,
110,1,RIGHT,I,G,DATE,,,
111,0,LEAST,O,G,<SELF>,,,
111,1,PATTERN,I,G,<SELF>,,,
112,0,LENGTH,O,G,NUMBER,,,
112,1,CH,I,D,<SELF>,,,
113,0,LOWER,O,D,<SELF>,,,
113,1,CH,I,D,<SELF>,,,
114,0,LPAD,O,D,<SELF>,,,
114,1,STR1,I,D,<SELF>,,,
114,2,LEN,I,G,NUMBER,,,
114,3,PAD,D,D,<SELF>,,,
115,0,LTRIM,O,D,<SELF>,,,
115,1,STR1,I,D,<SELF>,,,
115,2,TSET,D,D,<SELF>,,,
116,0,MOD,O,G,NUMBER,,,
116,1,N1,I,G,NUMBER,,,
116,2,N2,I,G,NUMBER,,,
117,0,MONTHS_BETWEEN,O,G,NUMBER,,,
117,1,LEFT,I,G,DATE,,,
117,2,RIGHT,I,G,DATE,,,
118,0,NEW_TIME,O,G,DATE,,,
118,1,RIGHT,I,G,DATE,,,
118,2,MIDDLE,I,G,STRING,,,
118,3,LEFT,I,G,STRING,,,
119,0,NEXT_DAY,O,G,DATE,,,
119,1,LEFT,I,G,DATE,,,
119,2,RIGHT,I,G,STRING,,,
120,0,NVL,O,G,<SELF>,,,
120,1,VAL,I,G,<SELF>,,,
120,2,NULLVAL,I,G,<SELF>,,,
121,0,REPLACE,O,D,<SELF>,,,
121,1,SRCSTR,I,D,<SELF>,,,
121,2,OLDSUB,I,D,<SELF>,,,
121,3,NEWSUB,D,D,<SELF>,,,
122,0,TO_BINARY_FLOAT,O,D,BINARY_FLOAT,,,
122,1,LEFT,I,G,STRING,,,
122,2,FORMAT,D,G,STRING,,,
122,3,PARMS,D,G,STRING,,,
123,0,RPAD,O,D,<SELF>,,,
123,1,STR1,I,D,<SELF>,,,
123,2,LEN,I,G,NUMBER,,,
123,3,PAD,D,D,<SELF>,,,
124,0,RTRIM,O,D,<SELF>,,,
124,1,STR1,I,D,<SELF>,,,
124,2,TSET,D,D,<SELF>,,,
125,0,SQLCODE,O,G,NUMBER,,,
126,0,SQLERRM,O,G,STRING,2000,,
126,1,CODE,D,G,NUMBER,,,
127,0,SUBSTR,O,D,<SELF>,,,
127,1,STR1,I,D,<SELF>,,,
127,2,POS,I,G,NUMBER,,,
127,3,LEN,D,G,NUMBER,,,
128,0,SYSDATE,O,G,DATE,,,
129,0,TO_CHAR,O,G,STRING,,,
129,1,LEFT,I,G,<SELF>,,,
129,2,FORMAT,D,G,STRING,,,
129,3,PARMS,D,G,STRING,,,
130,0,TO_DATE,O,G,DATE,,,
130,1,LEFT,I,T,<SELF>,,,
130,2,FORMAT,D,G,STRING,,,
130,3,PARMS,D,G,STRING,,,
131,0,TO_NUMBER,O,G,NUMBER,,,
131,1,LEFT,I,G,STRING,,,
131,2,FORMAT,D,G,STRING,,,
131,3,PARMS,D,G,STRING,,,
132,0,TRANSLATE,O,G,STRING,,,
132,1,STR1,I,G,STRING,,,
132,2,SRC,I,G,STRING,,,
132,3,DEST,I,G,STRING,,,
133,0,TO_BINARY_DOUBLE,O,D,BINARY_DOUBLE,,,
133,1,LEFT,I,G,STRING,,,
133,2,FORMAT,D,G,STRING,,,
133,3,PARMS,D,G,STRING,,,
134,0,UPPER,O,D,<SELF>,,,
134,1,CH,I,D,<SELF>,,,
135,0,USER,O,G,STRING,,,
136,0,USERENV,O,G,STRING,,,
136,1,ENVSTR,I,G,STRING,,,
137,0,TRIM,O,D,<SELF>,,,
137,1,STR1,I,D,<SELF>,,,
137,2,TSET,D,D,<SELF>,,,
138,0,CARDINALITY,O,G,INTEGER,,,
138,1,COLLECTION,I,T,<SELF>,,,
139,0,SET_DISTINCT,O,T,<SELF>,,,
139,1,COLLECTION,I,T,<SELF>,,,
140,0,SYSTEM_CONTEXT,O,G,STRING,,,
142,0,SIGN,O,G,NUMBER,,,
142,1,N,I,G,NUMBER,,,
143,0,COS,O,G,NUMBER,,,
143,1,N,I,G,NUMBER,,,
144,0,COSH,O,G,NUMBER,,,
144,1,N,I,G,NUMBER,,,
145,0,EXP,O,G,NUMBER,,,
145,1,N,I,G,NUMBER,,,
146,0,LN,O,G,NUMBER,,,
146,1,N,I,G,NUMBER,,,
147,0,SIN,O,G,NUMBER,,,
147,1,N,I,G,NUMBER,,,
148,0,SINH,O,G,NUMBER,,,
148,1,N,I,G,NUMBER,,,
149,0,SQRT,O,G,NUMBER,,,
149,1,N,I,G,NUMBER,,,
150,0,TAN,O,G,NUMBER,,,
150,1,N,I,G,NUMBER,,,
151,0,TANH,O,G,NUMBER,,,
151,1,N,I,G,NUMBER,,,
152,0,UID,O,G,INTEGER,,,
153,0,HEXTORAW,O,G,RAW,,-1000,
153,1,C,I,G,STRING,,,
154,0,RAWTOHEX,O,G,STRING,,,
154,1,R,I,G,RAW,,-1000,
155,0,CHARTOROWID,O,G,ROWID,,-1000,
155,1,STR,I,G,STRING,,,
156,0,ROWIDTOCHAR,O,G,STRING,,,
156,1,STR,I,G,ROWID,,-1000,
157,0,CONVERT,O,D,<SELF>,,,
157,1,SRC,I,D,<SELF>,,,
157,2,DESTCSET,I,G,STRING,,,
157,3,SRCCSET,D,G,STRING,,,
158,0,GOWNER,O,G,STRING,,,
159,1,VAL,I,T,<SELF>,,,
159,2,NOTNULLVAL,I,T,<SELF>,,,
159,3,NULLVAL,I,T,<SELF>,,,
160,0,SYS_CONTEXT,O,G,STRING,,,
160,1,NAMESPACE,I,G,STRING,,,
160,2,ATTRIBUTE,I,G,STRING,,,
160,3,NEWOPTIONAL,D,G,NUMBER,,,
161,0,BITAND,O,G,NUMBER,,,
161,1,LEFT,I,G,NUMBER,,,
161,2,RIGHT,I,G,NUMBER,,,
162,0,OWNER,O,G,STRING,,,
163,0,USER_CONTEXT,O,G,STRING,,,
164,0,PLP_CALC,O,G,NULL,,,
164,1,CALC_STR,I,G,STRING,,,
164,2,P_TYPE,D,G,BOOLEAN,,,
165,0,CAST_TO,O,T,<SELF>,,,
165,1,TYPECAST,I,T,<SELF>,,,
165,2,VALUE,I,G,<NO_CHECK>,,,
168,0,ROWNUM,O,G,NUMBER,,,
169,0,GLOBAL_CONTEXT,O,G,STRING,,,
170,0,EXTRACT,O,G,STRING,,,
170,1,T,I,G,<SELF>,,,
170,2,FIELD,I,G,STRING,,,
171,0,CURRENT_DATE,O,G,DATE,,,
172,0,CURRENT_TIMESTAMP,O,G,TIMESTAMP,9,1,
172,1,PRECISION,D,G,NUMBER,,,
173,0,DBTIMEZONE,O,G,STRING,,,
174,0,FROM_TZ,O,G,TIMESTAMP,9,1,
174,1,T,I,G,TIMESTAMP,9,0,
174,2,TIMEZONE,I,G,STRING,,,
175,0,LOCALTIMESTAMP,O,G,TIMESTAMP,9,2,
175,1,PRECISION,D,G,NUMBER,,,
176,0,NUMTODSINTERVAL,O,G,INTERVAL,9,9,
176,1,NUMERATOR,I,G,NUMBER,,,
176,2,UNITS,I,G,STRING,,,
177,0,NUMTOYMINTERVAL,O,G,INTERVAL,9,,
177,1,NUMERATOR,I,G,NUMBER,,,
177,2,UNITS,I,G,STRING,,,
178,0,SESSIONTIMEZONE,O,G,STRING,,,
179,0,SYSTIMESTAMP,O,G,TIMESTAMP,9,1,
180,0,SYS_GUID,O,G,RAW,,-1000,
181,0,TO_DSINTERVAL,O,G,INTERVAL,9,9,
181,1,RIGHT,I,G,STRING,,,
181,2,PARMS,D,G,STRING,,,
182,0,TO_TIMESTAMP,O,G,TIMESTAMP,9,0,
182,1,LEFT,I,G,STRING,,,
182,2,FORMAT,D,G,STRING,,,
182,3,PARMS,D,G,STRING,,,
183,0,TO_TIMESTAMP_TZ,O,G,TIMESTAMP,9,1,
183,1,LEFT,I,G,STRING,,,
183,2,FORMAT,D,G,STRING,,,
183,3,PARMS,D,G,STRING,,,
184,0,TO_YMINTERVAL,O,G,INTERVAL,9,,
184,1,RIGHT,I,G,STRING,,,
185,0,TZ_OFFSET,O,G,STRING,,,
185,1,REGION,I,G,STRING,,,
186,0,TO_TZ,O,G,TIMESTAMP,9,1,
186,1,TIMEZONE,I,G,<SELF>,,,
186,2,T,I,G,TIMESTAMP,9,0,
187,0,TO_INTERVAL,O,G,INTERVAL,,,
187,1,INTERVALTYPE,I,G,<SELF>,,,
187,2,I,I,G,INTERVAL,,,
188,0,TIMESTAMP_UNCONSTRAINED,O,G,TIMESTAMP,9,0,
189,0,TIMESTAMP_TZ_UNCONSTRAINED,O,G,TIMESTAMP,9,1,
190,0,TIMESTAMP_LTZ_UNCONSTRAINED,O,G,TIMESTAMP,9,2,
191,0,DSINTERVAL_UNCONSTRAINED,O,G,INTERVAL,9,9,
192,0,YMINTERVAL_UNCONSTRAINED,O,G,INTERVAL,9,,
193,0,POWER,O,G,NUMBER,,,
193,1,N,I,G,NUMBER,,,
193,2,E,I,G,NUMBER,,,
194,0,EMPTY_CLOB,O,G,CLOB,,-1000,
195,0,EMPTY_BLOB,O,G,BLOB,,-1000,
196,0,COALESCE,O,G,<SELF>,,,
196,1,EXPR,I,G,<SELF>,,,
197,0,LOG,O,G,NUMBER,,,
197,1,LEFT,I,G,NUMBER,,,
197,2,RIGHT,I,G,NUMBER,,,
201,0,NO_DATA_FOUND,O,G,EXCEPTION,,,
202,0,TOO_MANY_ROWS,O,G,EXCEPTION,,,
203,0,CANNOT_LOCK,O,G,EXCEPTION,-20500,,
204,0,CHECK_OBJECT,O,G,EXCEPTION,-20400,,
205,0,USER,O,G,STRING,,,
206,0,SYSDATE,O,G,DATE,,,
207,0,NUMERIC_OVERFLOW,O,G,EXCEPTION,-1426,,
208,0,OFFLINE_PARTITION,O,G,EXCEPTION,-376,,
209,0,DML_ERRORS,O,G,EXCEPTION,-24381,,
210,1,MSG,I,G,STRING,,,
210,2,DLEVEL,D,G,INTEGER,,,
210,3,P_PUT_TIME,D,G,BOOLEAN,,,
210,4,P_DIR,D,G,STRING,,,
210,5,P_CODE,D,G,STRING,,,
211,1,P_OBJECT_ID,I,R,OBJECT,,,
211,2,P_INFO,D,G,STRING,,,
211,3,P_CLASS,D,G,STRING,,,
